,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,experience,non_ADU_proj_count,non_ADU_avg_insp,non_ADU_avg_time_per_insp
757,917125.0,True,6.428571428571429,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1155,1,11.0,27.454545454545453
765,1033834.0,True,31.142857142857142,1.0,6.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2653,7,6.142857142857143,20.7812925170068
767,922228.0,True,48.375,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,582,4,8.5,20.91001400560224
771,450947.0,True,19.13997580987872,4.0,19.0,11.0,0.0,1.0,6.0,6.0,3.0,8.0,7.0,3.0,1981,30,9.666666666666666,26.877723118384882
772,819703.0,True,9.516129032258064,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,421,3,7.333333333333333,27.206410256410255
773,989394.0,True,28.017892112329154,0.0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2682,3,11.666666666666666,24.86845238095238
774,544786.0,True,80.5,0.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1066,5,7.6,51.35333333333333
776,943341.0,True,21.454545454545453,0.0,16.0,5.0,1.0,2.0,3.0,1.0,3.0,6.0,4.0,1.0,2680,20,6.8,20.507886904761904
791,860668.0,True,18.142857142857142,6.0,1.0,9.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,4.0,2358,15,10.933333333333334,23.420608973194785
795,853860.0,True,5.428571428571429,22.0,1.0,1.0,0.0,0.0,8.0,7.0,6.0,2.0,0.0,1.0,2364,23,17.565217391304348,18.4390449569828
806,988036.0,True,24.55,0.0,2.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1021,6,6.833333333333333,20.59722222222222
808,704277.0,True,11.44,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,756,3,13.333333333333334,33.83104575163399
810,994291.0,True,11.558823529411764,7.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,2141,10,11.2,40.10979112554113
812,901296.0,True,27.908264033264032,0.0,4.0,4.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,1122,5,7.4,35.9248717948718
813,531868.0,True,16.11764705882353,0.0,7.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1639,9,9.222222222222221,17.634401709401708
815,978086.0,True,11.454545454545455,0.0,9.0,3.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1961,11,6.181818181818182,16.03842975206612
818,888955.0,True,7.25,0.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1309,5,8.0,11.742380952380952
820,980653.0,True,10.632563415137142,1.0,8.0,13.0,0.0,0.0,2.0,6.0,3.0,8.0,3.0,0.0,1505,20,9.2,24.972879262550315
822,939981.0,True,4.711462450592886,1.0,56.0,15.0,0.0,9.0,15.0,9.0,8.0,10.0,13.0,8.0,2483,70,6.671428571428572,27.954782281210854
826,906459.0,True,7.92857142857143,0.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2703,5,5.8,33.29142857142857
827,881905.0,True,47.69230769230769,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,876,3,8.0,24.083333333333332
837,999377.0,True,10.105263157894736,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,622,1,4.0,11.25
846,1007624.0,True,23.698671931083993,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,846,1,10.0,42.7
854,972773.0,True,24.42705713034228,0.0,13.0,6.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,11.0,2700,16,7.625,43.28623737373738
859,1007225.0,True,14.285714285714286,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,575,2,7.5,14.357142857142858
860,1017138.0,True,9.4,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1161,3,6.666666666666667,22.222222222222225
874,1011035.0,True,24.450098659590388,0.0,15.0,3.0,0.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,2480,13,5.6923076923076925,26.932692307692307
890,990316.0,True,4.779607520241526,0.0,21.0,0.0,0.0,2.0,3.0,11.0,4.0,1.0,0.0,0.0,2557,18,6.5,11.016540404040406
892,901842.0,True,52.2125,0.0,23.0,11.0,2.0,4.0,11.0,6.0,1.0,4.0,5.0,1.0,2529,32,6.78125,21.721198593073595
896,929539.0,True,19.296720200706872,2.0,10.0,4.0,0.0,0.0,2.0,5.0,4.0,2.0,1.0,2.0,1833,14,7.928571428571429,12.973809523809525
902,886103.0,True,13.333333333333334,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,461,1,16.0,30.375
910,938552.0,True,8.4,0.0,10.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2121,9,6.222222222222222,13.839506172839505
911,832488.0,True,8.56170815694806,15.0,15.0,11.0,2.0,7.0,8.0,7.0,5.0,4.0,2.0,6.0,2273,27,9.185185185185185,26.73419456202917
